ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y
6021,8,0.5856476,5.0928802
6024,3,0.6134186,5.1299133
6030,6,0.64120483,5.173126
6036,6,0.66578674,5.1997375
6040,4,0.6626282,5.1902924
6044,4,0.63249207,5.146866
6052,8,0.56477356,5.105896
6056,4,0.5211792,5.066681
6061,5,0.4701538,5.02565
6063,2,0.42008972,4.9818115
6072,9,0.38182068,4.9406433
6075,3,0.35417175,4.8919983
6080,5,0.3425598,4.8604736
6088,8,0.33566284,4.848053
6091,3,0.3425598,4.862137
6095,4,0.34698486,4.8676453
6099,4,0.3432312,4.862152
6106,7,0.32254028,4.864975
6111,5,0.2959442,4.8765106
6114,3,0.2811737,4.865402
6122,8,0.27792358,4.8540497
6126,4,0.28303528,4.8329163
6130,4,0.29684448,4.8236084
6134,4,0.30613708,4.819565
6142,8,0.29318237,4.8071594
6145,3,0.25978088,4.790329
6149,4,0.24349976,4.8016815
6158,9,0.2420044,4.8190613
6161,3,0.23930359,4.8163605
6165,4,0.23001099,4.816681
6169,4,0.23449707,4.8395996
6177,8,0.24725342,4.8567047
6181,4,0.27062988,4.869217
6185,4,0.3007965,4.8822327
6193,8,0.32258606,4.8908844
6197,4,0.34109497,4.896591
6201,4,0.36454773,4.9101715
6204,3,0.36421204,4.9194946
6212,8,0.3497467,4.9196167
6216,4,0.3497467,4.9236145
6220,4,0.3497467,4.9388123
6228,8,0.3415985,4.9430695
6232,4,0.32929993,4.9615936
6236,4,0.31591797,4.9597015
6242,6,0.2995758,4.9483795
6248,6,0.27372742,4.924698
6252,4,0.2593689,4.911255
6256,4,0.25637817,4.8927765
6263,7,0.25637817,4.882614
6266,3,0.25317383,4.866913
6270,4,0.24394226,4.854965
6278,8,0.24165344,4.8542786
6282,4,0.22764587,4.8194885
6286,4,0.22331238,4.8046875
6291,5,0.20126343,4.811081
6298,7,0.17866516,4.8007812
6302,4,0.17842102,4.786194
6305,3,0.17539978,4.806015
6313,8,0.18489075,4.841278
6317,4,0.20159912,4.857422
6321,4,0.22940063,4.8710938
6325,4,0.24794006,4.8765106
6333,8,0.25784302,4.8836975
6336,3,0.26713562,4.8800964
6342,6,0.27630615,4.8597565
6349,7,0.2707367,4.8477783
6352,3,0.26556396,4.8477783
6358,6,0.25637817,4.8431244
6360,2,0.26304626,4.8272247
6368,8,0.2619171,4.8174286
6372,4,0.24890137,4.808136
6376,4,0.21305847,4.8046875
6384,8,0.20812988,4.812546
6387,3,0.23042297,4.8190613
6392,5,0.23963928,4.8190613
6395,3,0.2558136,4.8190613
6403,8,0.2707367,4.8046875
6407,4,0.2707367,4.8124847
6411,4,0.27664185,4.8190613
6419,8,0.2947998,4.8279114
6425,6,0.32250977,4.8434906
6426,1,0.33039856,4.857727
6432,6,0.31414795,4.883194
6440,8,0.2975006,4.900696
6443,3,0.28419495,4.938904
6446,3,0.27174377,4.972992
6455,9,0.24716187,4.993454
6458,3,0.22238159,5.008896
6462,4,0.20091248,5.012985
6471,9,0.19885254,5.012802
6474,3,0.19384766,4.9871674
6478,4,0.19465637,4.96434
6482,4,0.17285156,4.9492188
6489,7,0.15463257,4.9483337
6493,4,0.15188599,4.938568
6496,3,0.16218567,4.92041
6506,10,0.17781067,4.912201
6509,3,0.19636536,4.900589
6513,4,0.21894836,4.8865814
6516,3,0.25361633,4.8771973
6524,8,0.29766846,4.8648376
6528,4,0.32780457,4.879898
6532,4,0.35731506,4.8836975
6542,10,0.37245178,4.8916626
6544,2,0.40013123,4.907669
6549,5,0.43255615,4.921509
6560,11,0.46939087,4.953064
6560,0,0.49945068,4.988785
6563,3,0.52571106,5.012985
6576,13,0.55215454,5.0315857
6576,0,0.6016388,5.043747
6579,3,0.61094666,5.0730743
6592,13,0.61550903,5.0729065
6592,0,0.60865784,5.0430603
6594,2,0.58026123,5.020172
6600,6,0.54322815,5.0127563
6603,3,0.5234833,4.9941406
6610,7,0.4895172,4.9834747
6617,7,0.44361877,4.977066
6619,2,0.39735413,4.9625244
6622,3,0.3647766,4.9416046
6631,9,0.3226776,4.9177704
6636,5,0.30274963,4.91243
6639,3,0.30541992,4.9064636
6645,6,0.3237152,4.9223175
6649,4,0.36045837,4.9441376
6655,6,0.41081238,4.96846
6657,2,0.43582153,5.0055695
6666,9,0.43185425,5.0150146
6669,3,0.41333008,5.0283966
6673,4,0.38868713,5.046875
6681,8,0.35876465,5.07045
6684,3,0.30619812,5.06102
6688,4,0.24685669,5.028183
6765,77,0.19137573,5.0054474
6766,1,0.17018127,4.9797974
6766,0,0.17018127,4.9570923
6766,0,0.17651367,4.929306
6766,0,0.18702698,4.9196167
6766,0,0.21548462,4.9196167
6766,0,0.2401886,4.9196167
6766,0,0.24919128,4.9046783
6766,0,0.25154114,4.8908844
6766,0,0.26075745,4.8908844
6766,0,0.27005005,4.910385
6767,1,0.2980652,4.9354706
6767,0,0.34555054,4.9804077
6767,0,0.39912415,5.0415344
6767,0,0.44430542,5.0859985
6771,4,0.474823,5.111435
6777,6,0.5117035,5.139038
6783,6,0.5419922,5.175949
6786,3,0.5827484,5.183777
6790,4,0.5866089,5.1634827
6796,6,0.533432,5.10907
6802,6,0.42668152,4.999008
6806,4,0.29345703,4.902725
6810,4,0.2015686,4.838394
6813,3,0.18455505,4.8056946
6824,11,0.2436676,4.8064575
6826,2,0.32304382,4.8157196
6830,4,0.3792572,4.824951
6837,7,0.3617096,4.8390045
6842,5,0.3425598,4.838028
6844,2,0.3675232,4.859955
6850,6,0.43504333,4.8833466
6856,6,0.45550537,4.924301
6860,4,0.44223022,4.971649
6864,4,0.4056244,4.984253
6872,8,0.39283752,4.9760437
6875,3,0.39904785,4.9698944
6880,5,0.4277649,4.954468
6887,7,0.45030212,4.91243
6892,5,0.425354,4.8558044
6895,3,0.38327026,4.8238525
6899,4,0.35258484,4.7806854
6907,8,0.3391266,4.741516
6911,4,0.30786133,4.6948853
6915,4,0.27095032,4.6754
6922,7,0.24829102,4.6610413
6926,4,0.20895386,4.6610413
6931,5,0.1802063,4.6566925
6934,3,0.17736816,4.6538544
6943,9,0.18858337,4.6538544
6946,3,0.23005676,4.6572723
6950,4,0.29457092,4.6773987
6958,8,0.33694458,4.6897736
6962,4,0.3665619,4.697174
6966,4,0.36672974,4.720398
6971,5,0.34439087,4.7388153
6977,6,0.31951904,4.737076
6981,4,0.3138275,4.7256775
6986,5,0.31948853,4.7256775
6993,7,0.3138275,4.712326
6998,5,0.31913757,4.7256775
7001,3,0.33442688,4.7256775
7004,3,0.32850647,4.7256775
7012,8,0.3193817,4.7184906
7016,4,0.3138275,4.714752
7021,5,0.3196106,4.711319
7028,7,0.3210144,4.709854
7032,4,0.32380676,4.702545
7036,4,0.3330841,4.711319
7041,5,0.34918213,4.7182007
7048,7,0.3930664,4.720337
7053,5,0.42997742,4.7217712
7055,2,0.44906616,4.7125397
7063,8,0.46377563,4.7131042
7069,6,0.45147705,4.731674
7071,2,0.4280243,4.7299805
7075,4,0.40731812,4.697159
7083,8,0.37971497,4.6858063
7087,4,0.33952332,4.667206
7090,3,0.3023529,4.6610413
7098,8,0.27792358,4.6775208
7103,5,0.274765,4.699188
7106,3,0.2707367,4.732025
7114,8,0.2780304,4.7472687
7118,4,0.29884338,4.760971
7122,4,0.33514404,4.784485
7126,4,0.38778687,4.802994
7133,7,0.40600586,4.7819366
7137,4,0.4000244,4.769272
7142,5,0.4000244,4.750885
7149,7,0.38510132,4.7463684
7153,4,0.36894226,4.720993
7157,4,0.35075378,4.711319
7161,4,0.3360443,4.6982727
7169,8,0.31111145,4.6843414
7173,4,0.28910828,4.6575775
7177,4,0.27792358,4.6538544
7184,7,0.2922821,4.6466675
7189,5,0.2922821,4.6466675
7193,4,0.2922821,4.651245
7197,4,0.27893066,4.6538544
7204,7,0.2707367,4.652313
7208,4,0.2707367,4.6466675
7212,4,0.2707367,4.6466675
7283,71,0.23809814,4.6455536
7283,0,0.17871094,4.632309
7283,0,0.11810303,4.6464386
7283,0,-0.10202026,4.6742096
7284,1,-0.14819336,4.684265
7284,0,-0.18522644,4.693527
7284,0,-0.2106781,4.696945
7285,1,-0.20536804,4.695465
7285,0,-0.19328308,4.679764
7285,0,-0.1749115,4.665741
7285,0,-0.16322327,4.6610413
7285,0,-0.16299438,4.651993
7285,0,-0.17469788,4.6466675
7285,0,-0.22653198,4.6286774
7290,5,-0.28242493,4.6071625
7301,11,-0.32870483,4.573105
7301,0,-0.35481262,4.55542
7302,1,-0.3569336,4.532074
7310,8,-0.35087585,4.526581
7313,3,-0.3190155,4.5317535
7317,4,-0.2693329,4.5441895
7325,8,-0.22810364,4.547226
7329,4,-0.17903137,4.556473
7333,4,-0.12094116,4.560486
7341,8,0.099853516,4.5606384
7345,4,0.18487549,4.5742188
7350,5,0.26867676,4.606125
7353,3,0.3239441,4.643265
7360,7,0.40263367,4.6538544
7364,4,0.46340942,4.657135
7368,4,0.48979187,4.6717987
7376,8,0.5226898,4.690613
7380,4,0.5388794,4.7065277
7383,3,0.5480957,4.68808
7388,5,0.55085754,4.6567383
7395,7,0.5450592,4.6237183
7399,4,0.56477356,4.621414
7403,4,0.6075897,4.625122
7411,8,0.64624023,4.6246185
7415,4,0.67800903,4.617935
7419,4,0.7011261,4.6409454
7423,4,0.7422638,4.673874
7431,8,0.7854004,4.6976166
7435,4,0.8095398,4.736618
7438,3,0.8166199,4.7585754
7447,9,0.8250427,4.7837524
7450,3,0.8435669,4.790329
7454,4,0.8668823,4.7855377
7458,4,0.8809204,4.783142
7466,8,0.875824,4.7723236
7471,5,0.85583496,4.7422485
7474,3,0.84065247,4.7019196
7481,7,0.82380676,4.672058
7488,7,0.8266754,4.6380005
7489,1,0.84584045,4.620163
7493,4,0.8595886,4.5967255
7503,10,0.88323975,4.57605
7504,1,0.894577,4.5543365
7508,4,0.88926697,4.496109
7516,8,0.8802948,4.425415
7520,4,0.8740845,4.372772
7524,4,0.8534851,4.3110046
7534,10,0.82362366,4.2297363
7537,3,0.7937012,4.1763153
7540,3,0.75668335,4.1258087
7543,3,0.707077,4.095398
7552,9,0.6240845,4.0793457
7611,59,0.52897644,4.0207214
7611,0,0.4512024,3.9508514
7611,0,0.39215088,3.8912964
7611,0,0.35017395,3.8306122
7611,0,0.30793762,3.7845154
7611,0,0.2930603,3.719162
7611,0,0.28956604,3.6531525
7611,0,0.27449036,3.5918121
7611,0,0.29249573,3.5420532
7611,0,0.30743408,3.4943085
7613,2,0.325943,3.422699
7613,0,0.35810852,3.3669739
7625,12,0.411026,3.3206787
7625,0,0.45635986,3.2759094
7629,4,0.49339294,3.2281036
7632,3,0.5189972,3.1579742
7637,5,0.5282898,3.083496
7641,4,0.5046234,2.9950104
7645,4,0.48155212,2.9071198
7649,4,0.48576355,2.846527
7657,8,0.47732544,2.7973328
7663,6,0.46432495,2.7938843
7665,2,0.4459076,2.8180847
7676,11,0.41952515,2.847229
